,表中文名,表英文名,字段中文名,字段英文名,字段类型,字段描述,字段权限,字段权限描述,字段权限类型
0,supermanager,系统管理员,管理员姓名,username,CharField,,,,
1,predictions,预测结果表,预测结果的唯一标识符,predictionid,UUIDField,,,,
2,predictions,预测结果表,关联到被预测的评论对应评论,reviewid,SelectField,,,,
3,predictions,预测结果表,用于做出预测的模型ID关联到模型,modelid,SelectField,,,,
4,predictions,预测结果表,预测的情感倾向结果,predictedsentiment,CharField,,,,
5,predictions,预测结果表,预测结果的置信度分数如果模型支持输出的话,confidencescore,CharField,,,,
6,predictions,预测结果表,预测结果的创建时间,createdat,DateTimeField,,,,
7,models,模型表,模型的唯一标识符,modelid,UUIDField,,,,
8,models,模型表,模型的名称或版本信息,modelname,CharField,,,,
9,models,模型表,用于训练该模型的数据集ID关联到训练数据集,trainingdataid,SelectField,,,,
10,models,模型表,模型的准确率基于验证集或测试集的评估结果,accuracy,CharField,,,,
11,models,模型表,模型的创建时间训练完成时间,createdat,DateTimeField,,,,
12,models,模型表,模型的最后更新时间如果有进一步的训练或调整,updatedat,DateTimeField,,,,
13,trainingdata,训练数据集表,训练数据条目的唯一标识符,dataid,UUIDField,,,,
14,trainingdata,训练数据集表,训练数据中的评论内容文本,reviewcontent,TextField,,,,
15,trainingdata,训练数据集表,情感标签用于监督学习如正面为1负面为0,sentimentlabel,CharField,,,,
16,trainingdata,训练数据集表,示该数据条目是否已被用于模型训练,usedfortraining,BooleanField,,,,
17,reviews,评论表,评论的唯一标识符,reviewid,UUIDField,,,,
18,reviews,评论表,评论者的用户ID关联到用户,userid,SelectField,,,,
19,reviews,评论表,被评论的电影ID关联到电影,movieid,SelectField,,,,
20,reviews,评论表,评论的内容文本,content,TextField,,,,
21,reviews,评论表,评论的情感倾向如正面、负面或中立这可以是机器学习模型预测的结果,sentiment,TextField,,,,
22,reviews,评论表,评论的创建时间,createdat,DateTimeField,,,,
23,reviews,评论表,评论的最后更新时间如果允许编辑的话,updatedat,DateTimeField,,,,
24,movies,电影表,电影的唯一标识符,movieid,UUIDField,,,,
25,movies,电影表,电影的标题,title,CharField,,,,
26,movies,电影表,电影的发布日期,releasedate,DateField,,,,
27,movies,电影表,电影的类型如动作、喜剧、剧情等,genre,CharField,,,,
28,movies,电影表,电影导演的名字,director,CharField,,,,
29,movies,电影表,电影的主要演员列,cast,CharField,,,,
30,movies,电影表,电影的评分可以是用户评分的平均值,rating,IntegerField,,,,
31,users,用户表,用户的唯一标识符,userid,UUIDField,,,,
32,users,用户表,用户名用于登录和识别用户,username,CharField,,,,
33,users,用户表,用户的电子邮件地址用于联系和验证用户,email,TextField,,,,
34,users,用户表,用户账户的创建时间,createdat,DateTimeField,,,,
35,users,用户表,用户账户的最后更新时间,updatedat,DateTimeField,,,,
